topic,title,text
Layanan Publik,Mobil Sim Keliling Polres Banggai Meriahkan Pasar Murah Bersubsidi,"KABAR LUWUK – Suasana Pasar Murah bersubsidi di Kabupaten Banggai menjadi lebih semarak dengan kehadiran Satuan Lalulintas Polres Banggai yang membawa Mobil Sim Keliling. Senin 11/12/2023.Keberadaan ini bukan hanya sekadar pelayanan, melainkan juga menandai sinergi antara Polres Banggai dan Kejaksaan Negeri Banggai yang terjalin kuat.Kepala Satuan Lalu Lintas Polres Banggai, AKP I Made Bagus Aditya,melalui Kanit Regiden, Ipda Suparjan, memimpin stand pameran Sim Keliling di Pasar Murah bersubsidi.Suparjan menjelaskan bahwa kegiatan ini merupakan upaya konkret dalam mendekatkan diri kepada masyarakat, terutama dalam pengurusan perpanjangan Surat Izin Mengemudi (SIM).Masyarakat Kabupaten Banggai dapat dengan mudah mengurus perpanjangan SIM tanpa harus repot datang ke Kantor Satpas Polres Banggai dihalimun.Cukup dengan mendatangi Mobil Sim Keliling yang telah disediakan oleh tim, pelayanan pun siap dilayani. Ujarnya.Dalam suasana yang ramai, Ipda Suparjan menekankan bahwa kehadiran Mobil Sim Keliling adalah bentuk inovatif untuk memudahkan akses masyarakat dalam administrasi SIM.Tim di dalam mobil siap memberikan pelayanan terbaik untuk memastikan proses perpanjangan SIM berjalan lancar dan efisien.Hal ini tidak hanya memudahkan, tetapi juga memperkuat ikatan antara institusi kepolisian dan kejaksaan dengan masyarakat.Pasar Murah bersubsidi yang diselenggarakan oleh Kejaksaan Negeri Banggai bukan hanya sebagai ajang ekonomi, tetapi juga sebagai platform untuk mendekatkan diri dengan masyarakat.Keberadaan Mobil Sim Keliling menjadi tambahan nilai positif dalam kegiatan tersebut, menciptakan hubungan yang lebih erat antara penegak hukum dan warga Kabupaten Banggai.**"
Keamanan Publik,"Rakor Kampanye Damai Pemilu 2024, Polres Banggai Dapat Arpresiasi dari Para Partai Politik","“Kerja Cepat dan Terkoordinir dalam Penerbitan STTP “KABAR LUWUK –Rakor Kampanye Damai Pemilu 2024,Polres Banggai Dapat Arpresiasi dari Para Partai Politik. Rapat koordinasi kampanye pemilu yang diadakan bersama partai politik peserta pemilu tahun 2024 diKabupaten Banggaitelah sukses dilaksanakan. Acara yang bertujuan untuk membahas strategi kampanye damai menghadirkan dua narasumber kunci, yaitu Kasat Intel Kam Polres Banggai, AKP. Usman SH, danKetua Bawaslu Kabupaten Banggai, Ridwan, SH.Senin 6/12/2023.Salah satu poin utama dalam rapat tersebut adalah pembahasan mengenai penerbitanSurat Tanda Terima Pemberitahuan Kampanye Pemilu (STTP). Kasat Intel Kam Polres Banggai, AKP. Usman SH, menjadi narasumber pertama yang memberikan insight tentang proses penerbitan STTP. Para peserta pemilu memberikan apresiasi tinggi terhadap Polres Banggai, khususnya Sat Intel Kam, atas pelayanan yang cepat dan terkoordinir dalam proses penerbitan STTP.“Kami mengucapkan terima kasih atas pelayanan dan kerjasama yang baik dari Polres Banggai, khususnya Sat Intel Kam. Penerbitan STTP yang cepat dan terkoordinir sangat membantu kelancaran kampanye kami,” ungkap salah satu peserta partai politik yang hadir.Kapolres Banggai, melalui Kasat Intel Kam, AKP. Usman SH, juga menyampaikan terima kasih atas partisipasi aktif para peserta dalam rapat koordinasi. “Terima kasih kepada seluruh peserta rakor kampanye damai atas saran dan masukannya. Semoga apa yang masih kurang dalam pelayanan kami di Polres Banggai, tentu kami akan berusaha untuk memperbaikinya,” ujar AKP. Usman SH.Ridwan, SH, selaku Ketua Bawaslu Kabupaten Banggai, turut memberikan kontribusi dengan menyampaikan materi tentang “Pengawas Kampanye Pemilu.” Materi ini menjadi penting dalam memastikan bahwa kampanye pemilu dilaksanakan secara fair dan sesuai dengan aturan yang berlaku.Rapat koordinasi ini diakhiri dengan harapan bersama untuk menjaga kampanye pemilu agar tetap damai, bersih, dan demokratis. Semua peserta sepakat untuk bekerja sama demi tercapainya pemilu yang berkualitas dan dapat memberikan pemimpin yang amanah untuk masyarakat Kabupaten Banggai.Rapat koordinasi tersebut juga menjadi wadah untuk membangun sinergi antara partai politik, kepolisian, dan lembaga pengawas pemilu dalam menciptakan suasana kampanye yang sehat dan damai. Para peserta sepakat bahwa kolaborasi yang baik antara semua pihak dapat menjadi kunci keberhasilan pelaksanaan pemilu yang adil dan transparan.Selain itu, peran Ketua Bawaslu Kabupaten Banggai, Ridwan, SH, dalam memberikan pemahaman tentang tugas dan tanggung jawab pengawas kampanye pemilu dianggap sangat penting. Materi yang disampaikannya tidak hanya memberikan pengetahuan kepada peserta, tetapi juga meningkatkan pemahaman tentang pentingnya pengawasan dalam menjaga integritas dan keadilan selama masa kampanye.Kapolres Banggai dan jajaran Sat Intel Kam turut memberikan komitmen untuk terus meningkatkan pelayanan dan koordinasi dengan semua pihak terkait. Transparansi dan responsif terhadap masukan dari partai politik serta lembaga pengawas pemilu dianggap sebagai langkah positif dalam meningkatkan kepercayaan masyarakat terhadap proses pemilu.Sebagai tindak lanjut dari rapat koordinasi ini, diharapkan akan muncul langkah konkret untuk meningkatkan efisiensi dalam penerbitan STTP dan peningkatan kapasitas pengawas kampanye. Semua upaya ini diarahkan untuk menciptakan pemilu yang tidak hanya demokratis tetapi juga menjunjung tinggi nilai-nilai perdamaian dan keadilan.Dengan berakhirnya rapat koordinasi ini, partai politik, kepolisian, dan lembaga pengawas pemilu di Kabupaten Banggai meninggalkan ruang diskusi dengan semangat optimisme bahwa kerjasama yang baik akan membawa dampak positif pada pelaksanaan kampanye pemilu dan pada akhirnya, pada keberhasilan pemilihan itu sendiri.Semua pihak sepakat bahwa pemilu damai adalah tanggung jawab bersama, dan melalui sinergi yang kuat, Kabupaten Banggai dapat meraih pesta demokrasi yang berkualitas dan bermartabat.**Penulis : Imam Muslik ( Jurnali )"
Keamanan Publik,"Bawaslu Banggai Perkuat Koordinasi dengan Panwascam untuk Menyongsong Pemilu, Distribusi Logistik Jadi Fokus Utama","KABAR LUWUK –Bawaslu BanggaiPerkuat Koordinasi denganPanwascamuntuk Menyongsong Pemilu,Distribusi Logistik Jadi Fokus Utama. Bawaslu Banggai menggelarrapat koordinasi (rakor)yang melibatkan seluruh Panwascam dari 23kecamatan di Luwuk.Ketua Bawaslu Banggai, Ridwan, dalam sambutannya menegaskan pentingnya koordinasi ini untuk mencegah keterlambatan distribusi logistik pemilu seperti yang terjadi pada tahun 2019.Bawaslu terus menghimbauKomisi Pemilihan Umum (KPU)agar memastikan bahwa pengelolaan dan distribusi logistik berjalan lancar tanpa masalah.Senin 6/12/2023.Ridwan juga menyampaikan bahwa pihaknya bersama jajaran perlu memperkuat diri untuk memastikan pengawasan pemilu berjalan dengan baik. Hal ini sebagai langkah antisipasi terhadap potensi masalah yang dapat muncul selama proses pemilu.Ketua KPU Banggai, Santo Gotia, turut berbicara di hadapan puluhan anggota Panwascam. Dia menyatakan bahwa diperkirakan pada tanggal 18 Desember, surat suara sudah akan tiba di KPU Banggai.Meskipun distribusi logistik bukan lagi persoalan utama, tantangan terbesar saat ini adalah membangkitkan kepercayaan publik.Banggai memiliki catatan terkait masalah logistik pada pemilu sebelumnya, sehingga penting untuk memastikan bahwa logistik pemilu saat ini tepat jumlah, tepat jenis, tepat waktu, dan kualitasnya terjamin.Santo Gotia juga menekankan pentingnya kepercayaan publik, yang menjadi kunci kesuksesan pemilu. Dia berharap agar KPU Banggai dapat menjaga tata kelola logistik dengan baik, dan akan meminta koordinasi dan konsolidasi antara Panwascam dan PPK untuk memastikan pemilu berjalan dengan sukses.Tata kelola logistik akan dipusatkan di kantor KPU Banggai, dengan proses pengepakan dimulai pada akhir Desember. KPU Banggai telah menyiapkan tenaga untuk tahapan sortir dan lipat. Santo Gotia mengajak semua pihak untuk membantu mengawasi agar proses pemilu berjalan lancar dan baik di setiap tahapannya.Selain itu, Ridwan, Ketua Bawaslu Banggai, menekankan pentingnya transparansi dan akuntabilitas dalam semua tahap pengawasan pemilu. Ia menyatakan bahwa Bawaslu akan terus bersinergi dengan KPU dan semua pihak terkait untuk menciptakan lingkungan pemilu yang bersih, adil, dan dapat dipercaya.Dalam konteks membangkitkan kepercayaan publik, Santo Gotia juga menyoroti rencana KPU Banggai untuk memusatkan tata kelola logistik di kantor mereka sendiri.Hal ini sebagai langkah konkret untuk menunjukkan komitmen terhadap integritas proses pemilu. Pihak KPU Banggai juga berencana mengembalikan logistik ke Asrama Haji Koyoan di Nambo setelah pemilu sebagai bagian dari upaya pengelolaan pasca-pemilu.Pada akhir sesi rakor, baik Bawaslu Banggai maupun KPU Banggai sepakat untuk terus berkoordinasi erat dan saling mendukung demi suksesnya pemilu di Kabupaten Banggai.Ketua KPU Banggai mengajak seluruh Panwascam dan PPK untuk aktif berpartisipasi dalam pengawasan, sehingga setiap tahapan pemilu dapat berjalan sesuai aturan dan memberikan keyakinan kepada masyarakat.Dalam suasana yang penuh semangat ini, diharapkan bahwa upaya keras Bawaslu Banggai dan KPU Banggai dalam memperkuat koordinasi, meningkatkan transparansi, dan memastikan kualitas logistik pemilu dapat membawa Kabupaten Banggai menuju pemilu yang bersih, adil, dan dipercaya oleh seluruh masyarakat. ( IM) **"
Keamanan Publik,Kepala Lapas Luwuk Koordinasi dengan Disdukcapil Banggai Untuk Pendataan NIK dan E-KTP Warga Binaan,"KABAR LUWUK –Kepala Lapas LuwukKoordinasi dengan Disdukcapil Banggai untukPendataan NIKdanE-KTPWarga Binaan.Kepala Lembaga Pemasyarakatan Kelas IIB Luwuk, Efendi Wahyudi, didampingi oleh Kasi Binapigiatja, Taufiq, melakukan kunjungan ke Kantor Dinas Kependudukan danPencatatan Sipil (Disdukcapil) Kabupaten Banggai.Kunjungan ini dilakukan dalam rangka berkoordinasi terkait pendataan Nomor Induk Keluarga (NIK) dan pendaftaran E-KTP Warga Binaan yang berada di Lapas Luwuk. Luwuk, 6 Desember 2023Dalam pertemuan tersebut, Kepala Lapas Luwuk disambut baik oleh Sekretaris Disdukcapil, Hj. Faridah Matorang, S.sos M.si. Koordinasi ini membahas beberapa hal, termasuk persiapan validasi data NIK Narapidana dan pendaftaran E-KTP yang akan diajukan sebagai Daftar Penduduk Potensial Pemilih Pemilihan (DP4).Efendi Wahyudi menyampaikan pentingnya keterlibatan Warga Binaan Pemasyarakatan (WBP) dalam proses pemilihan umum lima tahunan. “Setiap WBP yang memenuhi syarat memiliki hak untuk memilih dan ikut serta dalam pemilihan umum.Jumlah WBP yang signifikan di dalam Lapas dapat menjadi potensi tersendiri dalam menentukan hasil Pemilu,” ungkap Efendi Wahyudi.Koordinasi antara Lapas Luwuk dan Disdukcapil Banggai ini diharapkan dapat mempermudah proses pendataan dan pendaftaran Warga Binaan, sehingga mereka dapat berpartisipasi aktif dalam demokrasi melalui hak pilih mereka.endataan yang akurat juga dianggap penting untuk menjamin keabsahan data dan mencegah potensi masalah terkait identitas penduduk.Upaya ini sejalan dengan komitmen pemerintah dalam memastikan setiap warga negara, termasuk WBP, dapat menikmati hak-hak demokratisnya tanpa diskriminasi. Proses validasi data NIK dan E-KTP di Lapas Luwuk menjadi langkah konkret dalam mewujudkan partisipasi seluruh lapisan masyarakat dalam proses demokrasi di Indonesia.Efendi Wahyudi juga menekankan pentingnya kerjasama antara Lapas Luwuk dan Disdukcapil Banggai dalam menjalankan pendataan ini secara efektif dan efisien.Dalam koordinasi tersebut, pihak Disdukcapil diwakili oleh Sekretaris Disdukcapil, Hj. Faridah Matorang, S.sos M.si., yang menyambut baik inisiatif dari Lapas Luwuk.Kerjasama ini mencakup persiapan validasi data NIK Narapidana dan pendaftaran E-KTP, yang kemudian akan diajukan sebagai Daftar Penduduk Potensial Pemilih Pemilihan (DP4).Proses ini diharapkan dapat memperkuat integritas data kependudukan, sehingga setiap Warga Binaan dapat memanfaatkan hak politiknya secara sah.Sekretaris Disdukcapil, Hj. Faridah Matorang, menyampaikan komitmen pihaknya untuk mendukung proses ini. “Kami siap bekerja sama dengan Lapas Luwuk dalam upaya memastikan bahwa setiap WBP memiliki identitas yang sah sesuai prosedur yang berlaku,” ujar Hj. FARIDAH.Diharapkan, kerjasama ini bukan hanya menjadi satu kali kegiatan, tetapi dapat menjadi contoh bagi lembaga pemasyarakatan lainnya untuk turut serta dalam memastikan hak demokratis setiap WBP di Indonesia.Melibatkan Warga Binaan dalam proses demokrasi adalah langkah progresif menuju masyarakat yang lebih inklusif dan berkeadilan.**"
Keamanan Publik,Optimisme Ketua KPU Banggai Atasi Keraguan Logistik Pemilu,"KABAR LUWUK –Optimisme Ketua KPU Banggai Atasi KeraguanLogistik Pemilu.KetuaKomisi Pemilihan Umum (KPU)Banggai,Santo Gotia,menegaskan keyakinannya bahwa keraguan terkaitlogistik Pemilutidak akan terulang seperti kasus sebelumnya.Meskipun keraguan masyarakat merupakan hal yang wajar, Gotia optimis bahwa semua akan berjalan tepat waktu dan logistik akan berjalan lancer, disampaikan pada saat menghadiri jelan rakor Kampanye damai bersama partai Politik diHotel Estrellakelurahan Tombang Permai, Rabu 6/12/2023.Gotia menjamin keberadaan PKPU dan Jukdisnya sebagai bukti komitmen pihak penyelenggara. “Kami di Kabupaten Banggai memiliki kepercayaan, pemilu besok akan sukses dengan pengaturan logistik yang cermat,” ujarnya.Menyoroti pentingnya logistik, Gotia menekankan bahwa logistik adalah jantung pemilu. Namun, ia juga menyoroti bahwa pemilu tidak hanya mengandalkan logistik, melainkan tahapan-tahapan lainnya juga perlu mendapat perhatian khusus.Ketua DPRD Banggai, Suprapto, menambahkan bahwa jaminan dari Ketua KPU adalah konsekwensi dari kesalahan masa lalu. Dalam konsolidasi, Suprapto yakin bahwa keraguan tidak akan terulang karena banyak pihak yang memberikan perhatian lebih.Ia menilai bahwa kesalahan masa lalu terjadi karena manajerial yang kurang pandai dalam mengelola waktu, mulai dari tahapan hingga pelaksanaan Pemilu.Dengan adanya keyakinan dan komitmen dari KPU Banggai, diharapkan pemilu di Kabupaten Banggai berjalan lancar tanpa kendala logistik, memberikan kepercayaan kepada masyarakat terhadap penyelenggaraan pemilu yang transparan dan akuntabel.Dalam upayanya menjaga kepercayaan masyarakat, Suprapro juga menyoroti bahwa aspek manajerial memainkan peran kunci dalam kesuksesan Pemilu. Dia menegaskan perlunya manajemen waktu yang efisien mulai dari tahapan perencanaan hingga pelaksanaan Voting Day. Jelasnya.Selain itu, Gotia mengimbau semua pihak terlibat untuk terus berkolaborasi dalam memastikan setiap tahapan Pemilu berjalan sesuai jadwal. Dia menyampaikan bahwa sinergi antara KPU, DPRD, dan seluruh elemen terkait merupakan fondasi utama keberhasilan penyelenggaraan Pemilu.Suprapto dari DPRD Banggai menambahkan bahwa evaluasi terhadap kesalahan masa lalu harus menjadi pembelajaran berharga. Dia menekankan pentingnya transparansi dan partisipasi aktif seluruh pemangku kepentingan dalam membangun integritas Pemilu.Sebagai langkah konkret, KPU Banggai telah merancang strategi pemantauan dan evaluasi yang ketat terhadap proses logistik.Gotia memastikan bahwa setiap perubahan atau kendala yang muncul akan segera ditanggapi dengan solusi yang tepat, menghindari terulangnya masalah pada Pemilu sebelumnya.Dengan komitmen yang kuat dari KPU Banggai dan partisipasi aktif dari seluruh pihak terkait, diharapkan keraguan masyarakat dapat teratasi.Semua pihak diundang untuk memberikan dukungan penuh demi terwujudnya Pemilu yang transparan, adil, dan sukses di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk)"
Layanan Publik,"Ngopi Bersama Wartawan,  Kajari Banggai Jalin Silaturahmi","KABAR LUWUK – Kejaksaan Negeri Kabupaten Banggai menggelar acara ngopi bersama awak media, mempererat hubungan dengan Kepala Seksi Intelijen baru, Sarman Sentosa Tandiasu, SH, di Cafe Daeng Mangge. Kamis 6/12/2023.Kegiatan ini dihadiri oleh Kajari Raden Bagus Wicaksono, SH.M.hun, yang menekankan pentingnya peran wartawan sebagai mitra Kejaksaan.Dalam acara tersebut, dibahas juga tindak lanjut kegiatan menjelang akhir tahun 2023 serta diungkapkan apresiasi dari Kepala Seksi Intelijen terhadap kerjasama yang telah terbangun dengan baik bersama awak media.Dalam suasana yang akrab, Kajari Raden Bagus Wicaksono, SH.M.hum, menyampaikan bahwa kegiatan ngopi bersama merupakan upaya untuk memperkuat kolaborasi dengan para wartawan sebagai mitra penting Kejaksaan Negeri Banggai.“Media memiliki peran strategis dalam menyampaikan informasi kepada masyarakat, dan kejadian-kejadian yang melibatkan hukum,” ujarnya.Diskusi pun melibatkan pertukaran pandangan mengenai isu hukum terkini yang menjadi perhatian publik.Sementara itu, Sarman Sentosa Tandiasu, SH, kepala seksi Intelijen yang baru, memberikan ucapan terima kasih kepada awak media atas partisipasinya dalam acara ngopi bersama. Ia mengapresiasi peran wartawan dalam menyampaikan informasi secara objektif dan berimbang.“Dukungan dan kerjasama awak media sangat berarti bagi kami dalam menjalankan tugas Intelijen.Keterlibatan media lokal membantu masyarakat lebih memahami upaya penegakan hukum yang kami lakukan,” ungkap Sarman Sentosa Tandiasu.Acara ini juga menjadi momen bagi para wartawan untuk berinteraksi secara langsung dengan kepala seksi Intelijen, menciptakan hubungan yang lebih erat antara media dan aparat penegak hukum.Diharapkan, sinergi ini akan terus tumbuh untuk mendukung transparansi dan keadilan dalam pelaksanaan tugas kejaksaan di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk )"
Layanan Publik,"Ngopi Bersama Insan Media,  Kajari Banggai Jalin Silaturahmi","KABAR LUWUK – Kejaksaan Negeri Kabupaten Banggai menggelar acara ngopi bersama insan media, mempererat hubungan dengan Kepala Seksi Intelijen baru, Sarman Sentosa Tandiasu, SH, di Cafe Daeng Mangge. Kamis 6/12/2023.Kegiatan ini dihadiri oleh Kajari Raden Bagus Wicaksono, SH.M.hun, yang menekankan pentingnya peran wartawan sebagai mitra Kejaksaan.Dalam acara tersebut, dibahas juga tindak lanjut kegiatan menjelang akhir tahun 2023 serta diungkapkan apresiasi dari Kepala Seksi Intelijen terhadap kerjasama yang telah terbangun dengan baik bersama awak media.Dalam suasana yang akrab, Kajari Raden Bagus Wicaksono, SH.M.hum, menyampaikan bahwa kegiatan ngopi bersama merupakan upaya untuk memperkuat kolaborasi dengan para wartawan sebagai mitra penting Kejaksaan Negeri Banggai.“Media memiliki peran strategis dalam menyampaikan informasi kepada masyarakat, dan kejadian-kejadian yang melibatkan hukum,” ujarnya.Diskusi pun melibatkan pertukaran pandangan mengenai isu hukum terkini yang menjadi perhatian publik.Sementara itu, Sarman Sentosa Tandiasu, SH, kepala seksi Intelijen yang baru, memberikan ucapan terima kasih kepada awak media atas partisipasinya dalam acara ngopi bersama. Ia mengapresiasi peran wartawan dalam menyampaikan informasi secara objektif dan berimbang.“Dukungan dan kerjasama awak media sangat berarti bagi kami dalam menjalankan tugas Intelijen.Keterlibatan media lokal membantu masyarakat lebih memahami upaya penegakan hukum yang kami lakukan,” ungkap Sarman Sentosa Tandiasu.Acara ini juga menjadi momen bagi para wartawan untuk berinteraksi secara langsung dengan kepala seksi Intelijen, menciptakan hubungan yang lebih erat antara media dan aparat penegak hukum.Diharapkan, sinergi ini akan terus tumbuh untuk mendukung transparansi dan keadilan dalam pelaksanaan tugas kejaksaan di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk )"
Keamanan Publik,Bupati Banggai Hadiri Sosialisasi Anti-Korupsi di Palu,"“Penguatan Peran APIP untuk Mencegah Kerugian Ekonomi dan Merusak Tatanan Sosial”KABAR LUWUK –Bupati BanggaiHadiriSosialisasi Anti-Korupsidi Palu. Bupati Banggai, Ir. H. Amirudin, M.M., bersama denganGubernur Sulawesi Tengah,H. Rusdy Mastura, turut hadir dalam kegiatan Sosialisasi PenguatanPeran Aparat Pengawas Internal Pemerintah (APIP)danSinergitas APIP-Aparat Penegak Hukum (APH)di Hotel Best Western Palu pada Kamis (07/12/2023).Gubernur Rusdy Mastura, dalam sambutannya, memberikan apresiasi tinggi terhadap penyelenggaraan kegiatan tersebut sebagai langkah pencegahan dan pemberantasan korupsi di Sulawesi Tengah.Korupsi, menurutnya, bukan hanya merugikan ekonomi, tetapi juga merusak tatanan sosial dan menghancurkan kepercayaan masyarakat terhadap pemerintah.Gubernur mengajak seluruh elemen masyarakat untuk menjauhi praktik korupsi, termasuk Pegawai APIP dan APH, dengan menekankan pentingnya menjunjung tinggi integritas, transparansi, dan objektivitas dalam tindakan dan keputusan yang diambil.Pelaksana Harian Inspektur Daerah Provinsi Sulawesi Tengah, Salim, S.Sos., M.Si., menyatakan bahwa tujuan dari sosialisasi ini adalah untuk mengingatkan masyarakat tentang bahaya korupsi dan dampaknya terhadap bangsa dan generasi mendatang.Sulawesi Tengah, sebagai daerah investasi nomor tiga di Indonesia, memiliki sumber daya alam yang melimpah, mulai dari nikel, gas, hingga emas.Salim menegaskan bahwa penguatan peran APIP dan sinergitas dengan aparat penegak hukum menjadi langkah krusial dalam pencegahan dini korupsi, mengingat posisi Sulawesi Tengah sebagai daerah investasi yang strategis.Upaya ini diharapkan dapat menjaga integritas dan memperkuat peran pengawasan internal pemerintah, menjadikan Sulawesi Tengah zona yang bersih dari praktik korupsi.Dalam upaya mendukung keberhasilan pencegahan dan pemberantasan korupsi, kegiatan sosialisasi tersebut turut dihadiri oleh Wakil Ketua KPK RI, unsur Forkopimda Provinsi Sulawesi Tengah, staf ahli Gubernur, para asisten, kepala perangkat daerah Provinsi Sulawesi Tengah, Kepala Perwakilan BPK-RI, Kepala Perwakilan BPKP Provinsi Sulawesi Tengah, pimpinan instansi vertikal, dan pimpinan kantor swasta wilayah Sulawesi Tengah.Dalam konteks ini, peran semua pihak, termasuk pemerintah daerah, lembaga pengawas, dan sektor swasta, dianggap krusial untuk menciptakan lingkungan yang bebas dari korupsi.Gubernur Rusdy Mastura menegaskan bahwa pencegahan korupsi perlu dilakukan sejak dini untuk melindungi kekayaan alam Sulawesi Tengah yang menjadi potensi investasi yang sangat bernilai.Sulawesi Tengah, dengan segala potensi sumber daya alamnya, memiliki tanggung jawab besar untuk memastikan bahwa pengelolaan kekayaan alam tersebut dilakukan secara transparan, adil, dan bebas dari praktik korupsi. Melalui sinergi antara APIP dan APH, diharapkan dapat tercipta sistem pengawasan yang kuat dan efektif.Dalam kesempatan yang sama, Pelaksana Harian Inspektur Daerah Provinsi Sulawesi Tengah, Salim, juga mengingatkan akan posisi strategis Sulawesi Tengah sebagai daerah investasi.Dengan peringkat ketiga sebagai daerah investasi di Indonesia, keberhasilan pencegahan korupsi menjadi kunci untuk menjaga keberlanjutan pertumbuhan ekonomi dan pembangunan di daerah tersebut.Semua pihak yang hadir diharapkan dapat menjadi agen perubahan dalam menciptakan lingkungan yang bersih dari korupsi.Keberhasilan pencegahan dan pemberantasan korupsi tidak hanya menjadi tanggung jawab pemerintah, tetapi juga tugas bersama seluruh elemen masyarakat.Sinergitas antara pemerintah, lembaga pengawas, dan sektor swasta di Sulawesi Tengah diharapkan dapat menjadi contoh positif untuk daerah-daerah lain di Indonesia. (humas) **"
Keamanan Publik,"Perekaman Biometrik WBP Tanpa E-KTP di Banggai, Upaya Kalapas untuk Hak Pilih 2024","KABAR LUWUK –Perekaman Biometrik WBPTanpa E-KTP di Banggai, Upaya Kalapas untukHak Pilih 2024.Kegiatan pengambilan data biometrik untuk narapidana tanpa E-KTP di Lapas Banggai menjadi langkah strategis hasil koordinasi antaraKalapasdan DisdukcapilKabupaten Banggai. Jum,at 8/12/2023.Kegiatan ini, yang melibatkanKasi Pelayanan Pendaftaran, Kasi Pendataan Penduduk, dan Kasi Pengelolaan Data dariDisdukcapil Banggai,dilaksanakan dengan tujuanpenerbitan E-KTPguna memenuhi syarat hak pilih wargabinaan pada Pemilu 2024.Perekaman biometrik dipimpin oleh Muzaimah G Tompe, S. sos (Kasi Pelayanan Pendaftaran), Tri Ningsih Hadiprawoto SE (Kasi Pendataan Penduduk), dan Jefri Kasim, SE (Kasi Pengelolaan Data) beserta staf.Mereka berfokus pada narapidana yang belum memiliki E-KTP, dengan harapan setiap wargabinaan dapat menggunakan hak pilihnya pada saat Pemilu tahun 2024.Kepala Lembaga Pemasyarakatan Kelas IIB Luwuk, Efendi Wahyudi mengatakan bahwa kegiatan tersebut langsung diipantau, yang didampingi oleh Kasi Binapigiatja dan staf registrasi.Tujuan pemantauan ini tidak hanya untuk memastikan kelancaran pengambilan data dan perekaman biometrik, tetapi juga untuk memastikan bahwa setiap wargabinaan memiliki akses penuh untuk menggunakan hak pilihnya pada Pemilu mendatang.Ujarnyanya.Kata Kalapas Luwuk kegiatan ini sebagai tindak lanjut, sehingga kami akan laporkan kegiatan ini kepada Kakanwil Kemenkumham Sulawesi Tengah melalui Kepala Divisi Pemasyarakatan.Apresiasi juga diberikan kepada seluruh petugas yang telah menjaga keamanan dan ketertiban selama pelaksanaan kegiatan ini.Dengan adanya kegiatan ini, diharapkan bahwa narapidana yang belum memiliki E-KTP dapat segera memenuhi syarat pemilu dan berpartisipasi aktif dalam demokrasi pada tahun 2024.**"
Keamanan Publik,"Banggai Bangkit Bersama Job Tomori, Gelar Pelatihan P3K Tingkatkan Keamanan Wisata di Luwuk","KABAR LUWUK –Banggai Bangkit Bersama Job Tomori, GelarPelatihan P3KTingkatkan Keamanan Wisata di Luwuk.Kabupaten Banggaiterus berupaya meningkatkan potensidestinasi wisatanyadengan fokus pada keamanan dan pemberdayaan ekonomi masyarakat. Salah satu langkah konkret yang diambil adalah pelatihanPertolongan Pertama Pada Kecelakaan (P3K) bagi Wisatawan yang diselenggarakan oleh JOB Tomori.Acara ini, yang berlangsung pada Rabu, (6/12/2023) di AulaKelurahan Maahas, Kecamatan Luwuk Selatan, bertujuan untuk memberdayakan pelaku wisata pesisir kota Luwuk.Hadiri oleh sejumlah tokoh penting, termasuk Kepala Dinas Pariwisata, Ismed Wardana, dan Rektor Unismuh Luwuk, Sutrisno K. Djawa, pelatihan ini dianggap sebagai langkah proaktif untuk meningkatkan kesiapsiagaan dalam merespon kecelakaan.Menurut Sutrisno, pemahaman mendalam tentang tindakan cepat dan efektif dalam memberikan pertolongan pertama sangat penting mengingat kecelakaan bisa terjadi kapan saja dan di mana saja.Ismed Wardana dari Dinas Pariwisata Kabupaten Banggai menekankan pentingnya kesiapsiagaan untuk menjaga citra pariwisata. Kecelakaan di suatu lokasi dapat merusak citra tersebut dan berdampak pada penurunan kunjungan wisatawan. Ismed menyebutkan bahwa Luwuk yang sudah terkenal dengan wisata kuliner harus terus dipromosikan melalui berbagai event festival.Nahra, yang mewakili Camat Luwuk Selatan, juga memberikan dukungan terhadap upaya pemberdayaan ekonomi masyarakat pesisir.Potensi usaha di sektor pariwisata memberikan peluang yang luas dan membantu pemerintah dalam mengurangi angka pengangguran.Visnu C. Bhawono, Relation Security & ComDev Manager JOB Tomori, menyampaikan bahwa perusahaan tersebut selalu bersinergi dengan Pemerintah Daerah Kabupaten Banggai dalam upaya memberdayakan masyarakat.12»"
