,title,text
306,"Jelang Nataru dan Pemilu 2024, TNI-Polri Gencar Razia Miras di Bualemo, Banggai","Polresbanggai.com– Polresbanggai.com – Aparat gabungan TNI-Polri berhasil menyita 60 kantong miras tradisional jenis cap tikus dari dua ibu rumah tangga di Kecamatan Bualemo, Banggai, Rabu (20/12/23).Puluhan liter minuman terlarang ini disita saat melakukan patroli dan razia gabungan yang dipimpinkapolsekBualemo IPTU Rudi Dg. Sumbung, SH.“Anggota mendapat informasi dari masyarakat adanya peredaran miras tanpa izin di Desa Binsil K,” ungkap Kapolsek.Dari hasil penyelidikan, diketahui rumah milik SB (32) dan NA (40) mengedarkan miras tradisional jenis cap tikus.“Tanpa menunggu lama, anggota langsung menuju lokasi dan menggeledah kedua rumah milik pelaku,” terangnya.“Barang bukti yang ditemukan berupa 46 bungkus cap tikus di rumah milik SB dan 14 kantong dikediaman NA,” sebutnya.Terhadap kedua pelaku kemudian dilakukan pembinaan serta teguran untuk tidak mengulangi lagi perbuatan melanggar hukum.“Kali ini masih dibina, tapi jika ditemukan lagi akan ditindak tegas sesuai hukum yang berlaku,” pungkasnya  "
480,"Punya Hak Kekayaan Intelektual? Hubungi Brida Banggai, Daftar Biayanya Gratis","Terasbanggai.com -Meski baru empat bulan efektif melaksanakan tugas dan fungsinya sebagai perangkat daerah, BRIDA kabupaten Banggai menorehkan sejaran baru dengan menciptakan inovasi yang ditujukan bagi masyarakat daerah ini. “Atas petunjuk Pak Bupati inovasi pelayanan hak kekayaan intelektual (HAKI) lahir sebagai komitmen pemda melindungi kekayaan intektual masyarakat daerah ini,” ungkap Kepala BRIDA kabupaten Banggai Andi Nusyamsy, Jumat (19/1/2024). Diketahui, dalam upayanya melindungi kekayaan intektual masyarakat daerah ini Pemda Banggai melalui BRIDA kabupaten Banggai telah mengalokasikan anggaran pada APBD tahun 2024 dengan tujuan hak intelektual masyarakat terlindungi secara hukum. “Silahkan bagi masyarakat yang berkeinginan hak intektualnya terlindungi secara hukum dapat menghubungi kami, kami siap melakukan pelayanan,” jelas mantan Kabag Tapem, Setda Banggai ini. Lalu siapa saja yang bisa mendaftarkan Hak Kekayaan Intektual, berikut ini rinciannya, HAKI hasil dari kreativitas intelektual dan kemampuan intektual manusia dan hak ekslusif yang diberikan perlindungan hukum kepada seseorang atau sekelompok orang terhadap ciptaanya yang terbagi dua kategori Hak Cipta dan Hak Kekayaan Industri. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. “Atas petunjuk Pak Bupati inovasi pelayanan hak kekayaan intelektual (HAKI) lahir sebagai komitmen pemda melindungi kekayaan intektual masyarakat daerah ini,” ungkap Kepala BRIDA kabupaten Banggai Andi Nusyamsy, Jumat (19/1/2024). Diketahui, dalam upayanya melindungi kekayaan intektual masyarakat daerah ini Pemda Banggai melalui BRIDA kabupaten Banggai telah mengalokasikan anggaran pada APBD tahun 2024 dengan tujuan hak intelektual masyarakat terlindungi secara hukum. “Silahkan bagi masyarakat yang berkeinginan hak intektualnya terlindungi secara hukum dapat menghubungi kami, kami siap melakukan pelayanan,” jelas mantan Kabag Tapem, Setda Banggai ini. Lalu siapa saja yang bisa mendaftarkan Hak Kekayaan Intektual, berikut ini rinciannya, HAKI hasil dari kreativitas intelektual dan kemampuan intektual manusia dan hak ekslusif yang diberikan perlindungan hukum kepada seseorang atau sekelompok orang terhadap ciptaanya yang terbagi dua kategori Hak Cipta dan Hak Kekayaan Industri. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. “Silahkan bagi masyarakat yang berkeinginan hak intektualnya terlindungi secara hukum dapat menghubungi kami, kami siap melakukan pelayanan,” jelas mantan Kabag Tapem, Setda Banggai ini. Lalu siapa saja yang bisa mendaftarkan Hak Kekayaan Intektual, berikut ini rinciannya, HAKI hasil dari kreativitas intelektual dan kemampuan intektual manusia dan hak ekslusif yang diberikan perlindungan hukum kepada seseorang atau sekelompok orang terhadap ciptaanya yang terbagi dua kategori Hak Cipta dan Hak Kekayaan Industri. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. Lalu siapa saja yang bisa mendaftarkan Hak Kekayaan Intektual, berikut ini rinciannya, HAKI hasil dari kreativitas intelektual dan kemampuan intektual manusia dan hak ekslusif yang diberikan perlindungan hukum kepada seseorang atau sekelompok orang terhadap ciptaanya yang terbagi dua kategori Hak Cipta dan Hak Kekayaan Industri. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. HAKI hasil dari kreativitas intelektual dan kemampuan intektual manusia dan hak ekslusif yang diberikan perlindungan hukum kepada seseorang atau sekelompok orang terhadap ciptaanya yang terbagi dua kategori Hak Cipta dan Hak Kekayaan Industri. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. Setelah diverifikasi atas hak cipta dari masyarakat, BRIDA Banggai akan mengeluarkan rekomendasi untuk penerbitan HAKI dari Kementrian Hukum dan HAM. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai. Masyarakat kabupaten Banggai yang mendaftarkan hak intelektualnya melalui BRIDA Banggai tidak perlu mengeluarkan biaya apapun, karena sepenuhnya difasilitasi Pemda Banggai.   "
180,"Jadi Mitra JOB Tomori, Unismuh Luwuk Kelola Rp7,7 Miliar Program Pemberdayaan Masyarakat","BANGGAI RAYA- Universitas Muhammadiyah (Unismuh) Luwuk terus konsisten dalam kegiatan penelitian dan pengabdian serta pemberdayaan masyarakat.Upaya konsisten itu pun membuahkan hasil, di mana kampus hijau memperoleh hibah dari Dikti mapun non Dikti.Antara lain Riset Muhammadiyah yang mana sejak 2022 sampai 2023, menghasilkan 6 hibah penelitian dan 7 hibah pengabdian.Tidak hanya itu, melalui mitra kerja Perusahaan JOB Tomori Pertamina Medco E&P Sulawesi, Unismuh Luwuk mendapatkan kepercayaan untuk mengelolah kegiatan Program Pemberdayaan Masyarakat dengan pendanaan sebesar Rp7,7 Miliar.Hal itu diungkapkan Rektor Unismuh Luwuk, Dr. Sutrisno K Djawa SE., MM., dalam sambutan akademiknya di momen wisuda Angkatan 21, Senin 18 Desember 2023.Di samping itu, Rektor mengemukakan beberapa mahasiswanya juga berhasil menerima hibah Program Kreativitas Mahasiswa (PKM). (*)"
370,"Amankan Nataru 2023-2024, Wakapolres Banggai Minta Semua Pihak Bersinergi","luwuk–Wakapolres Banggai Kompol Pino Ary SH, SIK, MH, meminta aparat TNI-Polri, Pemda dan stakeholder terkait untuk bersinergi mengamankan agenda nasional perayaan Natal 2023 dan tahun baru 2024 (Nataru).“Ini merupakan kegiatan rutin tahunan yang pengamanannya terpusat di rumah ibadah, tempat mudik dan lokasi keramaian,” ungkap Wakapolres saat membuka Rapat Koordinasi (Rakor) Lintas Sektoral di Aula Rupatama, Mapolres Banggai, Rabu (20/12/2023) pagi.Ia menjelaskan, pengamanan ini merupakan bagian dari Operasi Kepolisian terpusat dengan sandi Lilin-2023 yang dilaksanakan secara serentak di seluruh indonesia.“Untuk perayaan Natal 2023 dan penyambutan Tahun Baru 2024 kita fokus di rumah ibadah dan lokasi keramaian demi keselamatan masyarakat,” jelasnya.“Intinya kita fokus pengamanan kegiatan masyarakat,” terang orang kedua di Mapolres Banggai ini.Dirinya menambahkan, bahwa Rakor ini dilaksanakan guna menyamankan persepsi dalam memberikan rasa aman dan keselatamatan masyarakat.Sementara itu,bupati banggaidiwakili Staf Ahli, Rudi Bullah, mengatakan, Rakor ini sangat dibutuhkan guna sinergitas demi rasa aman serta nyaman selama natal dan tahun baru.“Pada intinya Pemkab Banggai siap memback up total demi kelancaran pengamanan natal dan tahun baru,” tandasnya  "
368,Satgas OMB Tinombala Patroli Gabungan Jaga Pemilu Aman di Banggai,"Polresbanggai.com –Untuk mendukung keamanan dan kelancaran seluruh tahapan Pemilu 2024, petugas gabungan menggelar patroli pengamanan berskala besarke kantor penyelenggara pemilu termasuk gudang penyimpanan logistik Pemilu 2024.Personel TNI Kodim 1308 LB dan Satgaspolres banggaiyang tergabung dalam Satgas Preventif Operasi Mantab Brata (OMB) Tinombala Polres Banggai secara masif dan berkelanjutan mendatangi objek penting pemilu, Senin (25/12/23).Karendalops OMB Polres Banggai, Kompol Esti Prasetyo Hadi mengatakan, pada tahap kampanye ini sasaran patroli adalah kantor KPU dan gudang logistik Pemilu serta Bawaslu Banggai.“Saat ini memasuki tahapan kampanye, dan di Gudang logistic sudah ada kelengkapan pemilu lainnya serta proses perakitan kotak suara. Kita patroli gabungan untuk menciptakan pemilu aman dan lancar,” jelasnya.Patroli gabungan ini melibatkan Satgas Preventif Polres Banggai 12 personil, Satgas TNI 2 anggota dan Satgas Kamseltibcarlantas Polres Banggai 3 orang.Kompol Esti yang juga menjabat Kabagops Polres Banggai ini menegaskan, selain patroli rutin, personel juga disiagakan untuk mengamankan Kantor KPU dan Bawaslu Banggai dan gudang logistic selama 24 jam.“Komitmen kami sebagai langkah preventif untuk mengantisipasi potensi gangguan apapun yang dimungkinkan terjadi,” jelasnya.“Dengan keterlibatan semua pihak ini, tahapan kampanye Pemilu di Banggai diharapkan bisa berjalan lancar, aman, dan kondusif,” tandasnya.*HumasPolresBanggai "
269,Polres Banggai Edukasi Keselamatan Lalu Lintas Klik Helm Saat Berkendara,"luwuk–Sebagai upaya menciptakan Kamseltibcarlantas, Satlantaspolres banggaijajaran Polda Sulteng laksanakan edukasi tertib berlalu lintas serta ingatkan pengendara untuk selalu klik Helm saat berkendara, Kamis (4/1/2024) pagi.Kegiatan tersebut dilaksanakan Kanit Kamsel Satlantas Aiptu Saripudin M. Badudin, SH pada saat melaksanakan Gatur (penjagaan dan pengaturan) arus lalu lintas di Jalan A.Yani Kota Luwuk.kapolres banggaiAKBP Ade Nuramdani melalui Kasat Lantas AKP I Made Bagus Aditya mengatakan, kegiatan ini dalam rangka menciptakan keamanan, keselamatan, ketertiban dan kelancaran berlu lintas di wilayah hukum Polres Banggai.Pada kegiatan tersebut dilaksanakan dengan imbuan secara humanis serta membantu mengancingkan Helm pengendara sepeda motor hingga bunyi “ KLIK “, ujarnya.Menurutnya pengendara juga diminta agar patuh terhadap peraturan berlalu lintas misalanya batas kecepatan, kelengkapan surat-surat, rambu-rambu dan marka jalan serta peduli keselamatan saat berkendara baik terhadap diri sendiri maupun pengendara lainnya.“Imbauan ini sebagai upaya untuk mengedukasi pengguna jalan khususnya pengendara agar mematuhi aturan lalu lintas guna terciptanya Kamseltibcarlantas,” tutupnya AKP Aditya sapaan akrabnya  "
331,"Momen Libur Nataru, Satgas Preventif Operasi Lilin 2023 Polres Banggai Tingkatkan Patroli","luwuk–Selama momen libur Natal dan Tahun Baru 2023-2024, Satgas Preventif Operasi Lilin Tinombala 2023polres banggaimeningkatkan patroli di lokasi keramaian dan pusat perbelanjaan di Kota Luwuk.Kasi Humas Polres Banggai Iptu Al Amin S. Muda mengungkapkan, selama libur Nataru lokasi keramaian dan pusat perbelanjaan di Kota Luwuk banyak dikunjungi masyarakat.“Sehingga kegiatan patroli kepolisian akan tingkatkan guna memberikan rasa aman dan nyaman,” ungkapnya. kepada wartawan di Kawasan Perkantoran Bukit Halimun, Sabtu (23/12/2023) pagi.Menurutnya, kegiatan patroli di lokasi keramaian dan pusat perbelanjaan dilakukan sebagai wujud menghadirkan Polri berdinas di tengah-tengah masyarakat.“Silahkan berkunjung dan berlibur di Kota Luwuk dengan tetap menjaga ketertiban. Kami akan hadir mengamankan,” terangnya.Ia pun mengimbau masyarakat untuk tetap mematuhi dan disiplin dalam berlalu lintas guna terciptanya Kamseltibcar Lantas di jalan.“Kami mengimbau masyarakat untuk tetap tertib berlalu lintas dan juga menjaga keselamatan saat berkendara selama libu Nataru,” imbaunya  "
92,"Kisah Kejam di Kabupaten Banggai,Ayah Tiri dan Pacar Kakak Cabuli Gadis 15 Tahun","KABAR LUWUK –  Kisah Kejam diKabupaten Banggai,Ayah Tiri dan Pacar KakakCabuli Gadis 15 Tahun.Polisi berhasil menangkap dua pria berinisial IU (25) dan RU (22) dariKecamatan Pagimana, Kabupaten Banggai, karena diduga terlibat dalam tindak pidana pencabulan atau persetubuhan anak di bawah umur.Penangkapan ini terjadi pada Sabtu (18/11/2023) setelah orang tua kandung korban melaporkan kejadian tersebut keSPKT Polsek Pagimanapada Jumat (17/11/2023).Kapolsek Pagimana, AKP Makmur, SH, mengungkapkan bahwa kasus ini dilaporkan oleh ayah kandung korban. IU, yang merupakan ayah tiri korban, dan RU, pacar korban yang juga kakak beradik IU, diduga melakukan perbuatan sadis ini sejak bulan Juli 2023 hingga November 2023.Korban sendiri adalah seorang gadis berusia 15 tahun yang masih duduk di bangku sekolah menengah pertama (SMP).“Pelaku ditangkap tanpa perlawanan, dan saat ini sudah ditahan di Mapolsek Pagimana untuk proses hukum lebih lanjut,” tegas AKP Makmur.Langkah selanjutnya, polisi akan melengkapi pendalaman penyelidikan dengan melakukan mindik, pemeriksaan terhadap saksi-saksi, dan visum et repertum.Kejadian ini menyedihkan dan mengejutkan warga Kecamatan Pagimana KabupatenBanggai, memunculkan kekhawatiran tentang keamanan anak-anak di daerah tersebut.Polisi berkomitmen untuk memastikan bahwa pelaku mendapat hukuman yang setimpal dengan kejahatan yang mereka lakukan, sementara masyarakat diimbau untuk tetap waspada terhadap potensi bahaya terhadap anak-anak.Kasus ini mencuatkan isu serius mengenai perlindungan anak di Kabupaten Banggai, dan diharapkan tindakan tegas dan cepat dari aparat penegak hukum akan memberikan keadilan bagi korban serta memberikan peringatan keras kepada potensi pelaku kejahatan serupa.Pemanggilan para saksi dan terduga pelaku serta pemeriksaan visum et repertum menjadi langkah kunci dalam pengungkapan kebenaran dalam kasus ini. Hasil dari pemeriksaan tersebut akan menjadi bukti yang kuat dalam proses hukum selanjutnya.Kepolisian berharap bahwa kasus ini akan memberikan efek jera bagi para pelaku kejahatan serupa, sehingga dapat mengurangi angka kejahatan terhadap anak di daerah tersebut. Selain itu, pentingnya peran orang tua dan masyarakat dalam melindungi anak-anak dari potensi bahaya juga ditekankan, karena kasus ini menjadi peringatan akan pentingnya kewaspadaan bersama.Pemerintah setempat diharapkan turut berperan aktif dalam menciptakan lingkungan yang aman dan mendukung bagi anak-anak. Program-program pendidikan dan sosialisasi tentang perlindungan anak perlu ditingkatkan untuk meningkatkan kesadaran masyarakat terhadap hak-hak anak dan konsekuensi hukum terhadap pelaku kejahatan seksual terhadap anak.Dalam menghadapi kenyataan tragis ini, dukungan psikologis dan rehabilitasi bagi korban juga menjadi fokus penting. Pelayanan kesehatan mental dan pendampingan psikologis dapat membantu korban untuk pulih secara emosional dan fisik setelah mengalami trauma yang mendalam.Kejadian ini juga memicu kembali perbincangan tentang perlunya peningkatan pengawasan terhadap orang-orang yang memiliki akses atau hubungan dekat dengan anak-anak. Masyarakat dan lembaga pendidikan diminta untuk lebih cermat dalam menyeleksi dan mengawasi orang-orang yang berinteraksi dengan anak-anak untuk mencegah terjadinya kasus serupa di masa depan.Kasus ini tidak hanya menjadi panggilan untuk keadilan, tetapi juga untuk perubahan dalam sistem perlindungan anak dan kesadaran bersama untuk menciptakan lingkungan yang lebih aman bagi generasi mendatang.**"
64,"Imigrasi dan Pemda Banggai Bersatu, Rencana Mal Pelayanan Publik untuk Pelayanan Lebih Efisien","KABAR LUWUK -Dalam langkah progresif menuju pelayanan publik yang unggul, Kantor Imigrasi dan Pemerintah Daerah Kabupaten Banggai merancang Mal Pelayanan Publik.Rapat pleno hari ini membahas kerja sama yang akan mengubah cara warga mengakses layanan publik dengan lebih efisien dan efektif.Fokus utama mencakup infrastruktur, sumber daya manusia, dan teknologi informasi untuk mendukung operasional Mal tersebut.Inisiatif ini bertujuan mempercepat pelayanan, meningkatkan transparansi, dan memperkuat integrasi layanan publik di Kabupaten Banggai.Kerjasama ini diharapkan menjadi tonggak untuk pelayanan publik inklusif dan dapat diakses oleh seluruh masyarakat.Pertemuan hari ini di Kantor Dinas Penanaman Modal Kabupaten Banggai dihadiri oleh pejabat-pejabat terkemuka, termasuk Plh. Kepala Kantor Imigrasi, Kepala Seksi Dokumen dan Izin Tinggal Keimigrasian, serta Kepala Subbagian Tata Usaha.Rencana pembentukan Mal Pelayanan Publik menjadi bukti nyata komitmen bersama untuk memberikan layanan yang lebih baik kepada masyarakat.Draf kerja sama yang dibahas mencakup aspek-aspek penting, mulai dari pembangunan infrastruktur hingga penguatan sumber daya manusia.Mal Pelayanan Publik ini tidak hanya akan menjadi pusat keimigrasian tetapi juga menyediakan akses terpadu ke berbagai layanan publik lainnya.Dengan kolaborasi ini, diharapkan proses pelayanan menjadi lebih efisien, mengurangi birokrasi, dan meningkatkan kepuasan masyarakat.Selain itu, rapat pleno juga menyoroti peran teknologi informasi dalam mendukung operasional Mal.Penerapan teknologi diharapkan dapat meningkatkan akurasi dan kecepatan pelayanan, menciptakan pengalaman yang lebih nyaman bagi warga.Ini sejalan dengan semangat inovasi dan modernisasi dalam penyelenggaraan pelayanan publik.Pembentukan Mal Pelayanan Publik ini bukan hanya langkah maju untuk Kabupaten Banggai tetapi juga dapat menjadi inspirasi bagi daerah lain untuk mengadopsi model serupa.Kesuksesan implementasi kerja sama ini akan menjadi ukuran keberhasilan dalam menciptakan pelayanan publik yang inklusif, transparan, dan responsif terhadap kebutuhan masyarakat.**Kemenkumham Meraih Terbaik Kedua dalam Penghargaan Germas Award Tahun 2023"
275,"Bupati Banggai Resmi Lantik 65 Pejabat, Ini Rinciannya!","BANGGAI RAYA- Bupati Banggai, Ir. Amirudin, MM,. AIFO melantik 65 pejabat yang terdiri dari pimpinan tinggi pratama (Eselon II), pejabat administrator (Eselon III), pengawas (Eselon IV), pejabat fungsional dan staf khusus Bidang Kepemudaan dan Olahraga di lingkungan Pemerintah Kabupaten Banggai.Sebanyak 65 pejabat baru telah disumpah untuk melayani masyarakat dan memajukan daerah pada Kamis (4/1/2024) di Ruang Rapat Umum Kantor Bupati Banggai, Luwuk Selatan.Prosesi Pelantikan 65 Pejabat terdiri Dari 1 Pejabat Pimpinan Tinggi Pratama, 24 Pejabat Administrator, 35 Pejabat Pengawas, 3 Pejabat Fungsional Pengawas Penyelenggara Urusan Pemda, 1 Pejabat Fungsional Analis Kebijakan Ahli Muda, 1  Pejabat Staf Khusus Bidang Kepemudaan Dan Olahraga.Dalam sambutannya, Bupati Banggai menyampaikan bahwa pentingnya penguatan organisasi untuk meningkatkan kualitas layanan kepada masyarakat.“Pentingnya regenerasi dalam menjaga kesinambungan penyelenggaraan pemerintahan, Regenerasi juga memberi kesempatan bagi yang berprestasi untuk untuk kerja,” tutur Bupati Amirudin seperti dikutip dari liputan Dinas Kominfo Banggai.Bupati Amirudin menegaskan bahwa pentingnya peran pejabat baru dalam memastikan kelancaran roda pemerintahan, juga menitipkan harapan kepada kepala perangkat daerah yang baru dilantik agar dapat bekerja dengan baik dan amanah.Ia menjelaskan, kehadiran pejabat dan staf khusus di Bidang Kepemudaan dan Olahraga memiliki peran strategis dalam mendukung pembangunan daerah, khususnya dalam mengoptimalkan potensi kepemudaan dan olahraga.Dengan langkah pelantikan ini, diharapkan akan terjadi peningkatan kinerja dan efektivitas dalam penyelenggaraan kegiatan di Bidang Kepemudaan dan Olahraga.Bupati Amirudin menegaskan bahwa melalui kolaborasi dan dedikasi, organisasi pemerintahan akan semakin tangguh dalam mewujudkan visi pembangunan Kabupaten Banggai yang lebih baik. (*)"
